Identifier Name and Type,Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
OFAndroidLifeCycleHelper,OF Android Life Cycle Helper,PRE NM NM NM N,P N N N N,NM NM NM NM N,P N N N N,{'openFrameworks.srcml.xml_identifiers'},Java
OFAndroidObject,OF Android Object,PRE NM N,P N N,NM NM N,P N N,{'openFrameworks.srcml.xml_identifiers'},Java
OFAndroidSoundPlayer,OF Android Sound Player,PRE NM NM N,P N NM N,NM NM NM N,P N N N,{'openFrameworks.srcml.xml_identifiers'},Java
OFAndroidWindow,OF Android Window,PRE NM N,P N N,NM NM N,P N N,{'openFrameworks.srcml.xml_identifiers'},Java
OFOrientationListener,OF Orientation Listener,PRE NM N,P N N,NM NM N,P N N,{'openFrameworks.srcml.xml_identifiers'},Java
OpPool,Op Pool,NM N,N N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
OutputDelegatePrivate,Output Delegate Private,NM N NM,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
ParallelComputer,Parallel Computer,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
ParameterSignature,Parameter Signature,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
ParseJobPrivate,Parse Job Private,NM N NM,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
PartDocumentPrivate,Part Document Private,NM N NM,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
PatchCoordBuffer,Patch Coord Buffer,NM NM N,N N N,NM NM N,N N N,{'blender.srcml.xml_identifiers'},C++
PatternsAnnotations,Patterns Annotations,NM NPL,N N,NM N,N NPL,{'corenlp.srcml.xml_identifiers'},Java
PhysicsClientExample,Physics Client Example,NM NM N,N N N,NM NM N,N N N,{'bullet3.srcml.xml_identifiers'},C++
PiecewiseConstantAbcdVariance,Piecewise Constant Abcd Variance,NM NM NM N,N NM N N,NM NM NM N,NM NM N N,{'QuantLib.srcml.xml_identifiers'},C++
Point3_,Point 3,N D,N N,NM N,N D,{'opencv.srcml.xml_identifiers'},C++
PointerMap,Pointer Map,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
PostFile,Post File,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
PostScriptDocument,Post Script Document,NM NM N,N N N,NM NM N,N N N,{'antlr4.srcml.xml_identifiers'},Java
PredicateWrapper,Predicate Wrapper,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
PrintEvents,Print Events,NM NPL,N N,NM N,V NPL,{'okhttp.srcml.xml_identifiers'},Java
ProblemReporterFactory,Problem Reporter Factory,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
Process,Process,N,N,N,V,{'gimp.srcml.xml_identifiers.idents'},C++
ProjectControllerPrivate,Project Controller Private,NM N NM,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
PublishResponse,Publish Response,NM N,N N,NM N,V N,{'elasticsearch.srcml.xml_identifiers'},Java
QRDetect,QR Detect,NM N,N V,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
Quad,Quad,N,N,N,N,{'blender.srcml.xml_identifiers'},C++
Quote,Quote,N,N,N,N,{'QuantLib.srcml.xml_identifiers'},C++
ReadBitstream,Read Bitstream,V N,N N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
ReconstructUpdateCallback,Reconstruct Update Callback,NM NM N,N N N,NM NM N,V N N,{'blender.srcml.xml_identifiers'},C++
RecordHeader,Record Header,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
RefutablePatternInitialization,Refutable Pattern Initialization,NM NM N,NM N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
RemotingDiagnostics ,Remoting Diagnostics,NM NPL,N N,NM N,N NPL,{'jenkins.srcml.xml_identifiers'},Java
ResolvedFailedException,Resolved Failed Exception,NM NM N,NM N N,NM NM N,NM NM N,{'jenkins.srcml.xml_identifiers'},Java
ResponseHandlers,Response Handlers,NM NPL,N N,NM N,N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
RestClient,Rest Client,NM N,N N,NM N,V N,{'openFrameworks.srcml.xml_identifiers'},C++
ReturnsEmptyValues,Returns Empty Values,V NM NPL,N NM N,NM NM N,V NM NPL,{'mockito.srcml.xml_identifiers'},Java
RiskyBond,Risky Bond,NM N,NM N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
RollingFrictionDemo,Rolling Friction Demo,NM NM N,NM N N,NM NM N,N N N,{'bullet3.srcml.xml_identifiers'},C++
RSComputeOperation,RS Compute Operation,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
RSStencilOperation,RS Stencil Operation,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
RuleMemberValidator,Rule Member Validator,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
RulePropertyRef_ctx,Rule Property Ref ctx,NM NM NM N,N N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
RulePropertyRef_start,Rule Property Ref start,NM NM NM N,N N N N,NM NM NM N,N N N N,{'antlr4.srcml.xml_identifiers'},Java
RuleVersionAttribute,Rule Version Attribute,NM NM N,N N N,NM NM N,N N N,{'antlr4.srcml.xml_identifiers'},C#
RunAfterParams,Run After Params,V NM NPL,V P N,NM NM N,N P N,{'junit4.srcml.xml_identifiers'},Java
RunBeforeParams,Run Before Params,V NM NPL,V P N,NM NM N,N P N,{'junit4.srcml.xml_identifiers'},Java
RunnerScheduler,Runner Scheduler,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
ScrollIdForNode,Scroll Id For Node,NM N P N,V N P N,NM NM NM N,N N P N,{'elasticsearch.srcml.xml_identifiers'},Java
SegmenterCoreAnnotations,Segmenter Core Annotations,NM NM NPL,N N N,NM NM N,N N NPL,{'corenlp.srcml.xml_identifiers'},Java
SeiReader,Sei Reader,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
SerializedForm,Serialized Form,NM N,N N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
ServerSafeHandle,Server Safe Handle,NM NM N,N NM N,NM NM N,N N V,{'grpc.srcml.xml_identifiers'},C#
SettingManager,Setting Manager,NM N,N N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
ShiftReduceTrainOptions,Shift Reduce Train Options,NM NM NM NPL,N N N N,NM NM NM N,N N N NPL,{'corenlp.srcml.xml_identifiers'},Java
SimplePressure,Simple Pressure,NM N,NM N,NM N,NM N,{'gimp.srcml.xml_identifiers.idents'},C++
