Original identifier,"(Abbreviation:Expansion,...)",Split Identifier
LEN_LANG,(Len:Length-Lang:language),(LEN) (LANG)
langStr,(Lang:language-Str:string),(LANG) (Str)
subLang,(Lang:language),sub (Lang)
msgDisplayed,(msg:message),(msg) Displayed
mbLen,(m:multi-b:byte-len:length),(m) (b) (Len)
mbStr,(m:multi-b:byte-Str:String),(m) (b) (Str)
mbTranslation,(m:multi-b:byte),(m) (b) Translation
KoExecutePolicy,(ko:KDE office),(ko) Execute Policy
w,(w:weight),(w)
QList,(q:qt framework),(q) List
lst,(lst:list),(lst)
d,(d:docker),(d)
dcop,(dcop:desktop communication protocol library),(dcop)
props,(props:properties),(props)
metaDoc,(doc:document),meta (Doc)
KOdfStore,(k:kde-odf:open document format),(k) (odf) Store
d,(d:document),(d)
m_src,(src:source),(src)
m_dst,(dst:destination),(dst)
setOrigFileName,(orig:original),(orig)
dir,(dir:directory),(dir)
p,(p:path),(p)
n,(n:name),(n)
me,(me:mouse event),(me)
e,(e:event),(e)
dbl,(dbl:double),(dbl)
ir,(ir: icons rectangle),(ir)
tr,(tr:text rectangle),(tr)
pos,(pos:position),(pos)
o,(o:option),(o)
v,(v:value),(v)
f,(f:font),(f)
p,(p:painter),(p)
cg,(cg:color group),(cg)
cr,(cr:color role),(cr)
r,(r:rectangle),(r)
img,(img:image),(img)
opt,(opt:option),(opt)
p,(p:pointer),(p)
t,(t:template),(t)
cfgGrp,(cfg:config-grp:group),(cfg)(grp)
h,(h:header),(h)
tmp,(tmp:temporary),(tmp)
m_quitAct,(act:action),(act)
mixOp,(op:operation),(op)
c,(c:color),(c)
rgba,(rgba:red green blue alpha),(rgba)
koDpi,(dpi:dots per inch),(dpi)
b,(b:button),(b)
geom,(geom:geometry),(geom)
calcSizes,(calc:calculate),(calc)
mw,(mw:margin width),(mw)
fw,(fw:frame width),(fw)
cs,(cs:color space),(cs)
grad,(grad:gradient),(grad)
d,(d:double spin box),(d)
sep,(sep:separator),(sep)
low,(low:lower),(low)
regexp,(regexp:regular expression),(regexp)
newval,(val:value),new (val)
wdgAction,(wdg:widget),(wdg)
pm,(pm:pixmap),(pm)
iter,(iter:iterator),(iter)
id,(id:identifier),(id)
fi,(fi:file),(fi)
s,(s:string),(s)
arg,(arg:argument),(arg)
exec,(exec:Execute),(exec)
dw,(dw:dock widget),(dw)
tb,(tb:tool bar),(tb)
a,(a:action),(a)
f,(f:files),(f)
c,(c:collection),(c)
f,(f:factory),(f)
sc,(sc:showcase),(sc)
cmd,(cmd:command),(cmd)
k,(k:key),(k)
bbox,(b:bounding),(b)box
l,(l:list),(l)
p,(p:page),(p)
gui,(gui:graphical user interface),(gui)
multiPages1,(multi:multiple),(multi)
m_miscPage,(misc:miscellaneous),(misc)
curr,(curr:current),(curr)
pl,(pl:pagelayout),(pl)
pl,(pl:page layout),(pl)
mp,(mp:master page),(mp)
bg,(bg:background),(bg)
iface,(i:interface),(i)
dirs,(dirs:directories),(dirs)
strcmp,(strcmp:string compare),(strcmp)
c,(c:col),(c)
r,(r:row),(r)
c,(c:columns),(c)
cols,(cols:columns),(cols)
f,(f:formula),(f)
ex,(ex:expression),(ex)
eval,(eval:evaluate),(eval)
xor,(xor:exclusive or),(xor)
fabs,(fabs:floating point absolute value),(fabs)
d,(d:double),(d)
acos,(acos:arccosine),(acos)
acos,(acos:inverse cosine),(acos)
acosh,(acosh:inverse hyperbolic cosine),(acosh)
acosh,(acosh:hyperbolic arccosine),(acosh)
acot,(acot:inverse cotangent),(acot)
acot,(acot:arccotangent),(acot)
acoth,(acoth:inverse hyperbolic cotangent),(acoth)
acoth,(acoth:hyperbolic arccotangent),(acoth)
asin,(asin:inverse sine),(asin)
asin,(asin:arcsine),(asin)
asinh,(asinh:hyperbolic arcsine),(asinh)
asinh,(asinh:hyperbolic inverse sine),(asinh)
atan,(atan:arctangent),(atan)
atan,(atan:inverse tangent),(atan)
atanh,(atanh:hyperbolic arctangent),(atanh)
atanh,(atanh:hyperbolic inverse tangent),(atanh)
ceil,(ceil:ceiling),(ceil)
combin,(combin:combine),(combin)
combina,(combina:combination),(combina)
cot,(cot:cotangent),(cot)
coth,(coth:hyperbolic cotangent),(coth)
fib,(fib:fibonacci),(fib)
gcd,(gcd:greatest common denominator),(gcd)
lcm,(lcm:lowest common multipe),(lcm)
ln,(ln:natural log),(ln)
log,(log:logarithm),(log)
mdeterm,(mdeterm:matrix determinant),(mdeterm)
minverse,(minverse:matrix inverse),(minverse)
mod,(mod:modulo),(mod)
mmult,(mmult:matrix multiplication),(mmult)
rand,(rand:random),(rand)
sqrt,(sqrt:square root),(sqrt)
trunc,(trunc:truncate),(trunc)
sumsq,(sumsq:sum squares),(sumsq)
pow,(pow:power),(pow)
func,(func:function),(func)
approxEqual,(approx:approximately),(approx) Equal
func_suma,(func:function-a:args),(func) sum (a)
fn,(fn:function),(fn)
m,(m:min),(m)
min,(min:minimum),(min)
div,(div:divide),(div)
eps,(eps:epsilon),(eps)
fac,(fac:factorial),(fac)
cond,(cond:condition),(cond)
args,(args:arguments),(args)
conv,(conv:convert),(conv)
stddev,(std:standard-dev:deviation),(std)(dev)
f,(f:function),(f)
t,(t:top),(t)
b,(b:bottom),(b)
dt,(dt:delta top),(dt)
dl,(dl:delta left),(dl)
dr,(dr:delta right),(dr)
db,(db:delta bottom),(db)
b,(b:bottom),(b)
vAlign,(v:vertical-align:alignment),(v)(align)
hAlign,(h:horizontal-align:alignment),(h)(align)
ctx,(ctx:context),(ctx)
fm,(fm:font metrics),(fm)
KCColumnFormat,(c:cell),K (C) Column Format
siz,(siz:size),(siz)
w,(w:width),(w)
h,(h:height),(h)
dom,(dom:document object model),(dom)
desc,(desc:description),(desc)
ev,(ev:event),(ev)
tl,(tl:top left),(tl)
br,(br: bottom right),(br)
d,(d:damage),(d)
complMode,(compl:completion),(compl) Mode
mid,(mid:middle),(mid)
co,(co:conditional),(co)
c,(c:condition),(c)
hasAttributeNS,(ns:namespace),has Attribute (NS)
dbg,(dbg:debug),(dbg)
id,(id:input device),(id)
d,(d:device),(d)
dbgPigmentCCS,(ccs:color conversion system),(CCS)
v,(v:vertex),(v)
findBestPathImpl,(impl:implementation),find Best Path (Impl)
isHdr,(hdr:header),is (hdr)
transfo,(transfo:transformation),(transfo)
buff,(buff:buffer),(buff)
m_nrOfBins,(nr:number),(nr)
c,(c:channels),(c)
KoGenericLabHistogramProducer,(lab:CIELAB color space),(lab)
testJIS,(jis:japanese industrial standards),test (jis)
