Original identifier,"(Abbreviation:Expansion,...)",Split Identifier
modInverse,(mod:modulo),(mod) Inverse
modPow,(mod:modulo-pow:powerof),(mod) (pow)
n,(n:nonprime),(n)
n,(n:mathvariable;order of generator g),(n)
n,(n:mathvariable;order of generator g),(n)
nonce,(nonce:number used only once),(nonce)
numTests,(num:number),(num) Tests
OPENJDK,(JDK:JavaSE Development Kit),OPEN (JDK)
openjdk1024,(JDK:JavaSE Development Kit),OPEN (JDK) 1024
OpenSSLProvider,(SSL:secure socket layer),open (SSL) Provider
os,(os:output stream),(o s)
outBuf,(out:output-Buf:buffer),(out) (Buf)
p,(p:mathvariable;prime of finite field),(p)
p,(p:mathvariable;prime of finite field),(p)
p,(p:provider),(p)
p1,(p:prime-1:distinguisher),(p)(1)
param,(param:parameter),(param)
params,(Params:parameters),(Params)
phi,(phi:mathvariable;totient),(phi)
PollardRhoSteps,(PollardRho:pollards rho algorithm),(PollardRho) Steps
println,(ln:line),print (ln)
priv,(priv:private),(priv)
privCurve,(priv:private),(priv) Curve
prod,(prod:product),(prod)
pt,(pt:plain text),(p t)
ptBuffer,(pt:plain text),(p t) Buffer
ptHex,(pt:plain text-hex:hexadecimal),(p t) (hex)
ptVector,(pt:plain text),(p t) Vector
pub,(pub:public),(pub)
pubCurve,(pub:public),(pub) Curve
pubPoint,(Pub:public),(Pub) Point
pubSpec,(pub:public-Spec:specification),(pub)(Spec)
pubw,(pub:public-w:mathvariable;public point w),(pub) (w)
pubx,(pub:public-x:mathvariable;affine x coordinate),(pub) (x)
puby,(pub:public-y:mathvariable;affine y coordinate),(pub) (y)
q,(q:mathvariable;order of the generator),(q)
q1,(q:mathvariable;prime q-1:distinguisher),(q)(1)
qHalf,(q:mathvariable;order of the generator),(q) Half
qHalf,(q:mathvariable;order of the generator),(q) half
r,(r:mathvariable;encryption signature integer ECDSA variable r),(r)
r,(r:mathvariable;safe prime),(r)
r2,(r:mathvariable;encryption signature integer ECDSA variable r-2:distinguisher),(r)(2)
rand,(rand:random),(rand)
resultPtLength,(Pt:plain text),result (P t) Length
rhs,(rhs:right hand side),(r h s)
rsa_key1,(rsa:rivest Shamir Adleman-1:distinguisher),(rsa) key (1)
RsaEncryptionTest,(RSA:rivest Shamir Adleman),(RSA) Encryption Test
rsaKeyLength,(RSA:rivest Shamir Adleman),(RSA) Key Length
s,(s:mathvariable;encryption signature integer ECDSA variable s),(s)
s,(s:mathvariable;private key),(s)
SecretKeySpec,(Spec:specification),Secret Key (Spec)
sig,(sig:signature),(sig)
signum,(sigNum:signed number),(signum)
sqrt,(sqrt:square root),(sqrt)
startR,(R:mathvariable;encryption signature integer ECDSA variable r),start (R)
startS,(S:mathvariable;encryption signature integer ECDSA variable s),start (S)
t,(t:test),(t)
t,(t:throwable),(t)
tcid,(tc:test case-id:identifier),(t c) (id)
testBiasSha1WithDSA,(Sha1:secure hash algorithm-DSA:digital signature algorithm),test Bias (Sha1) With (DSA)
testDefaultTagSizeIvParameterSpec,(Iv:initialization vector-Spec:specification),test Default Tag Size (I v) Parameter (Spec)
testDH,(dh:diffie hellman),test (DH)
testDHDistinctParameters,(dh:diffie hellman),test (DH) Distinct Parameters
testDsaBias,(DSA:digital signature algorithm),test (DSA) Bias
testEax,(EAX:encrypt authenticate translate),test (EAX)
testEcdsa,(Ec:elliptic curve-dsa:digital signature algorithm),test (ec)(dsa)
testEciesBasic,(Ec:elliptic curve-ies:integrated encryption scheme),test (ec)(ies) Basic
testEciesCorruptAesCbc,(Ec:elliptic curve-ies:integrated encryption scheme-aes:advanced encrpytion standard-cbc:cipher block chaining),test (ec) (ies) corrupt (aes) (cbc)
testExceptionsPKCS1,(PKCS:public key cryptography standards),test Exceptions (PKCS) 1
testGetExceptionsOAEP,(OAEP:Optimal Asymmetric Encryption Padding),test Get Exceptions (OAEP)
testIvReuse,(Iv:initialization vector),test (Iv) Reuse
testLateUpdateAAD,(aad:additional authenticated data),test late update (a a d)
testNotEcb,(ecb:electronic code book),test not (ecb)
testRsaSignatures,(RSA:rivest Shamir Adleman),test (RSA) Signatures
TestUtil,(Util:utilities),Test (Util)
testWrongOrderEcdhc,(ecdhc:elliptic curve diffie hellman cofactor),test wrong order (ecdhc)
ThreadMXBean,(MX:managed extensions),Thread (M X) Bean
tmp,(tmp:temporary),(tmp)
u,(u:mathvariable;pollards rho algorithm variable u),(u)
unusedQ,(Q:mathvariable;prime),unused (Q)
updateAAD,(aad:additional authenticated data),update (A A D)
v,(v:mathvariable;pollards rho algorithm variable v),(v)
v,(v:vector),(v)
w,(w:mathvariable;public point w),(w)
weakspec,(spec:specification),weak (spec)
x,(x:mathvariable;elliptic curve dsa private value),(x)
X509EncodedKeySpec,(X509:X509 standard specification-Spec:specification),(X509) Encoded Key (Spec)
x509keySpec,(x509:X509 standard specification-Spec:specification),(x509) key (Spec)
xSqr,(x:mathvariable;affine field x-sqr:squared),(x) (sqr)
