TYPE,IDENTIFIER,GRAMMAR_PATTERN,WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,FLAIR_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE,ID
Map,alt Label Ctxs,NM NM NPL,Ctxs,N,N,NPL,NPL,2,3,2,1,NPL,{'elasticsearch.srcml.xml_identifiers'},8,28
ofFloatColor,ambient,N,ambient,N,NM,NM,NM,0,1,0,1,N,{'grpc.srcml.xml_identifiers'},9,29
int,ATOM,N,ATOM,N,N,N,N,0,1,0,1,N,{'opencv.srcml.xml_identifiers'},10,30
OrderedHashSet,attribute Decls,NM NPL,attribute,NM,N,N,V,0,2,0,1,NM,{'calligra.srcml.xml_identifiers'},11,31
OrderedHashSet,attribute Decls,NM NPL,Decls,N,N,NPL,NPL,1,2,2,1,NPL,{'calligra.srcml.xml_identifiers'},11,32
uint,average In Bucket Used Slot Count,N P NM NM NM N,average,NM,V,N,NM,0,6,0,1,N,{'jenkins.srcml.xml_identifiers'},12,33
uint,average In Bucket Used Slot Count,N P NM NM NM N,In,NM,P,P,P,1,6,1,1,P,{'jenkins.srcml.xml_identifiers'},12,34
uint,average In Bucket Used Slot Count,N P NM NM NM N,Bucket,NM,N,N,N,2,6,1,1,NM,{'jenkins.srcml.xml_identifiers'},12,35
uint,average In Bucket Used Slot Count,N P NM NM NM N,Used,NM,NM,VBD,VBN,3,6,1,1,NM,{'jenkins.srcml.xml_identifiers'},12,36
uint,average In Bucket Used Slot Count,N P NM NM NM N,Slot,NM,N,N,N,4,6,1,1,NM,{'jenkins.srcml.xml_identifiers'},12,37
uint,average In Bucket Used Slot Count,N P NM NM NM N,Count,N,N,N,N,5,6,2,1,N,{'jenkins.srcml.xml_identifiers'},12,38
boolean,b Is Playing,PRE V V,b,NM,V,N,N,0,3,0,1,PRE,{'mockito.srcml.xml_identifiers'},13,39
boolean,b Is Playing,PRE V V,Is,NM,N,VBZ,VBZ,1,3,1,1,V,{'mockito.srcml.xml_identifiers'},13,40
boolean,b Is Playing,PRE V V,Playing,N,FAILURE,VBG,VBG,2,3,2,1,V,{'mockito.srcml.xml_identifiers'},13,41
bool,b Loop,PRE N,b,NM,N,N,N,0,2,0,1,PRE,{'corenlp.srcml.xml_identifiers'},14,42
bool,b Loop,PRE N,Loop,N,N,N,N,1,2,2,1,N,{'corenlp.srcml.xml_identifiers'},14,43
Map beanConfigs,bean Configs,NM NPL,bean,NM,N,N,N,0,2,0,1,NM,{'okhttp.srcml.xml_identifiers'},15,44
Map beanConfigs,bean Configs,NM NPL,Configs,N,N,NPL,VBZ,1,2,2,1,NPL,{'okhttp.srcml.xml_identifiers'},15,45
List,befores,NPL,befores,N,N,NPL,NPL,0,1,0,1,NPL,{'calligra.srcml.xml_identifiers'},16,46
u32,Bitmap Data Size,NM NM N,Bitmap,NM,N,N,N,0,3,0,1,NM,{'junit4.srcml.xml_identifiers'},17,47
u32,Bitmap Data Size,NM NM N,Data,NM,N,NPL,N,1,3,1,1,NM,{'junit4.srcml.xml_identifiers'},17,48
u32,Bitmap Data Size,NM NM N,Size,N,N,N,N,2,3,2,1,N,{'junit4.srcml.xml_identifiers'},17,49
BMLog,bm log,NM N,bm,NM,N,N,N,0,2,0,1,NM,{'junit4.srcml.xml_identifiers'},18,50
BMLog,bm log,NM N,log,N,N,N,N,1,2,2,1,N,{'junit4.srcml.xml_identifiers'},18,51
float,Bounding Radius,NM N,Bounding,NM,N,VBG,VBG,0,2,0,1,NM,{'mockito.srcml.xml_identifiers'},19,52
float,Bounding Radius,NM N,Radius,N,N,N,N,1,2,2,1,N,{'mockito.srcml.xml_identifiers'},19,53
BreakpointDataPtr,breakpoint,N,breakpoint,N,N,N,N,0,1,0,1,N,{'corenlp.srcml.xml_identifiers'},20,54
ParseField,BUCKETS PATH FIELD,NM NM N,BUCKETS,NM,N,NPL,NPL,0,3,0,1,NM,{'irrlicht.srcml.xml_identifiers'},21,55
ParseField,BUCKETS PATH FIELD,NM NM N,PATH,NM,N,N,N,1,3,1,1,NM,{'irrlicht.srcml.xml_identifiers'},21,56
ParseField,BUCKETS PATH FIELD,NM NM N,FIELD,N,N,N,N,2,3,2,1,N,{'irrlicht.srcml.xml_identifiers'},21,57
vector,buffers,NPL,buffers,N,N,NPL,NPL,0,1,0,1,NPL,{'jenkins.srcml.xml_identifiers'},22,58
Logger,LOGGER,N,LOGGER,N,N,N,N,0,1,0,1,N,{'openFrameworks.srcml.xml_identifiers'},23,59
long,build Timestamp,NM N,build,NM,N,V,V,0,2,0,1,NM,{'grpc.srcml.xml_identifiers'},24,60
long,build Timestamp,NM N,Timestamp,N,N,N,N,1,2,2,1,N,{'grpc.srcml.xml_identifiers'},24,61
long,bytes Received,NPL NM,bytes,NM,N,NPL,NPL,0,2,0,1,NPL,{'grpc.srcml.xml_identifiers'},25,62
long,bytes Received,NPL NM,Received,N,NM,VBD,VBD,1,2,2,1,NM,{'grpc.srcml.xml_identifiers'},25,63
BytecodeGenerator,caching Mock Bytecode Generator,NM NM NM N,caching,NM,N,VBG,VBG,0,4,0,1,NM,{'gimp.srcml.xml_identifiers'},26,64
BytecodeGenerator,caching Mock Bytecode Generator,NM NM NM N,Mock,NM,NM,NM,N,1,4,1,1,NM,{'gimp.srcml.xml_identifiers'},26,65
BytecodeGenerator,caching Mock Bytecode Generator,NM NM NM N,Bytecode,NM,N,N,N,2,4,1,1,NM,{'gimp.srcml.xml_identifiers'},26,66
BytecodeGenerator,caching Mock Bytecode Generator,NM NM NM N,Generator,N,N,N,N,3,4,2,1,N,{'gimp.srcml.xml_identifiers'},26,67
bool,calibration Phase,NM N,calibration,NM,N,N,N,0,2,0,1,NM,{'gimp.srcml.xml_identifiers'},27,68
bool,calibration Phase,NM N,Phase,N,V,N,N,1,2,2,1,N,{'gimp.srcml.xml_identifiers'},27,69
GimpCanvasItem,canvas item,NM N,canvas,NM,N,N,N,0,2,0,1,NM,{'mockito.srcml.xml_identifiers'},28,70
GimpCanvasItem,canvas item,NM N,item,N,N,N,N,1,2,2,1,N,{'mockito.srcml.xml_identifiers'},28,71
sharedptr,cat Risk,NM N,cat,NM,N,N,N,0,2,0,1,NM,{'Telegram.srcml.xml_identifiers'},29,72
sharedptr,cat Risk,NM N,Risk,N,N,N,N,1,2,2,1,N,{'Telegram.srcml.xml_identifiers'},29,73
CertificateChainCleaner,certificate Chain Cleaner,NM NM N,certificate,NM,N,N,N,0,3,0,1,NM,{'irrlicht.srcml.xml_identifiers'},30,74
CertificateChainCleaner,certificate Chain Cleaner,NM NM N,Chain,NM,N,N,N,1,3,1,1,NM,{'irrlicht.srcml.xml_identifiers'},30,75
CertificateChainCleaner,certificate Chain Cleaner,NM NM N,Cleaner,N,N,N,N,2,3,2,1,N,{'irrlicht.srcml.xml_identifiers'},30,76
stbttbuf,char strings,NM NPL,char,NM,N,N,N,0,2,0,1,NM,{'irrlicht.srcml.xml_identifiers'},31,77
stbttbuf,char strings,NM NPL,strings,N,N,NPL,NPL,1,2,2,1,NPL,{'irrlicht.srcml.xml_identifiers'},31,78
QList,chosen Overrides,NM NPL,chosen,NM,N,NM,VBN,0,2,0,1,NM,{'swift.srcml.xml_identifiers'},32,79
QList,chosen Overrides,NM NPL,Overrides,N,N,NPL,VBZ,1,2,2,1,NPL,{'swift.srcml.xml_identifiers'},32,80
OkHttpClient,client,N,client,N,N,N,N,0,1,0,1,N,{'elasticsearch.srcml.xml_identifiers'},33,81
int,client Number,NM N,client,NM,N,N,N,0,2,0,1,NM,{'openFrameworks.srcml.xml_identifiers'},34,82
int,client Number,NM N,Number,N,N,N,N,1,2,2,1,N,{'openFrameworks.srcml.xml_identifiers'},34,83
int[],CODES,NPL,CODES,N,N,NPL,NPL,0,1,0,1,NPL,{'mockito.srcml.xml_identifiers'},35,84
KoColorConversionSystem,color Conversion System,NM NM N,color,NM,NM,N,N,0,3,0,1,NM,{'blender.srcml.xml_identifiers'},36,85
KoColorConversionSystem,color Conversion System,NM NM N,Conversion,NM,N,N,N,1,3,1,1,NM,{'blender.srcml.xml_identifiers'},36,86
KoColorConversionSystem,color Conversion System,NM NM N,System,N,N,N,N,2,3,2,1,N,{'blender.srcml.xml_identifiers'},36,87
uint,colored Count,NM N,colored,NM,NM,NM,NM,0,2,0,1,NM,{'swift.srcml.xml_identifiers'},37,88
uint,colored Count,NM N,Count,N,N,N,N,1,2,2,1,N,{'swift.srcml.xml_identifiers'},37,89
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,Completion,NM,N,N,N,0,7,0,1,NM,{'elasticsearch.srcml.xml_identifiers'},38,90
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,Handler,NM,N,N,N,1,7,1,1,N,{'elasticsearch.srcml.xml_identifiers'},38,91
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,I,NM,NM,N,N,2,7,1,1,NM,{'elasticsearch.srcml.xml_identifiers'},38,92
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,Unary,NM,NM,NM,NM,3,7,1,1,NM,{'elasticsearch.srcml.xml_identifiers'},38,93
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,Response,NM,N,N,N,4,7,1,1,NM,{'elasticsearch.srcml.xml_identifiers'},38,94
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,Client,NM,N,N,N,5,7,1,1,NM,{'elasticsearch.srcml.xml_identifiers'},38,95
BatchCompletionDelegate,Completion Handler I Unary Response Client Callback,NM N NM NM NM NM N,Callback,N,N,N,N,6,7,2,1,N,{'elasticsearch.srcml.xml_identifiers'},38,96
PixelComponentType,component Type,NM N,component,NM,N,N,N,0,2,0,1,NM,{'irrlicht.srcml.xml_identifiers'},39,97
PixelComponentType,component Type,NM N,Type,N,N,N,N,1,2,2,1,N,{'irrlicht.srcml.xml_identifiers'},39,98
int,context Length,NM N,context,NM,N,N,N,0,2,0,1,NM,{'QuantLib.srcml.xml_identifiers'},40,99
int,context Length,NM N,Length,N,N,N,N,1,2,2,1,N,{'QuantLib.srcml.xml_identifiers'},40,100
CookieJar,cookie Jar,NM N,cookie,NM,N,N,N,0,2,0,1,NM,{'opencv.srcml.xml_identifiers'},41,101
CookieJar,cookie Jar,NM N,Jar,N,N,N,N,1,2,2,1,N,{'opencv.srcml.xml_identifiers'},41,102
GsrProcessCore,core,N,core,N,N,N,N,0,1,0,1,N,{'okhttp.srcml.xml_identifiers'},42,103
grpc_server_credentials* creds_,creds,NPL,creds,N,N,NPL,NPL,0,1,0,1,NPL,{'bullet3.srcml.xml_identifiers'},43,104
GeglNode,crop node,NM N,crop,NM,N,N,N,0,2,0,1,NM,{'antlr4.srcml.xml_identifiers'},44,105
GeglNode,crop node,NM N,node,N,N,N,N,1,2,2,1,N,{'antlr4.srcml.xml_identifiers'},44,106
String,current Filename,NM N,current,NM,NM,NM,NM,0,2,0,1,NM,{'kdevelop.srcml.xml_identifiers'},45,107
String,current Filename,NM N,Filename,N,N,N,N,1,2,2,1,N,{'kdevelop.srcml.xml_identifiers'},45,108
ISceneNode,Current Scene Node,NM NM N,Current,NM,NM,NM,NM,0,3,0,1,NM,{'irrlicht.srcml.xml_identifiers'},46,109
ISceneNode,Current Scene Node,NM NM N,Scene,NM,N,N,N,1,3,1,1,NM,{'irrlicht.srcml.xml_identifiers'},46,110
ISceneNode,Current Scene Node,NM NM N,Node,N,N,N,N,2,3,2,1,N,{'irrlicht.srcml.xml_identifiers'},46,111
GimpDebugPolicy,debug policy,NM N,debug,NM,N,V,N,0,2,0,1,NM,{'elasticsearch.srcml.xml_identifiers'},47,112
GimpDebugPolicy,debug policy,NM N,policy,N,N,N,N,1,2,2,1,N,{'elasticsearch.srcml.xml_identifiers'},47,113
Answer defaultAnswer,default Answer,NM N,default,NM,N,N,N,0,2,0,1,NM,{'irrlicht.srcml.xml_identifiers'},48,114
Answer defaultAnswer,default Answer,NM N,Answer,N,N,N,N,1,2,2,1,N,{'irrlicht.srcml.xml_identifiers'},48,115
ParametersRunnerFactory,DEFAULT FACTORY,NM N,DEFAULT,NM,N,N,N,0,2,0,1,NM,{'blender.srcml.xml_identifiers'},49,116
ParametersRunnerFactory,DEFAULT FACTORY,NM N,FACTORY,N,N,N,N,1,2,2,1,N,{'blender.srcml.xml_identifiers'},49,117
int,DEFAULT FLAGS,NM NPL,DEFAULT,NM,N,N,N,0,2,0,1,NM,{'blender.srcml.xml_identifiers'},50,118
int,DEFAULT FLAGS,NM NPL,FLAGS,N,N,NPL,NPL,1,2,2,1,NPL,{'blender.srcml.xml_identifiers'},50,119
void,default instance void,NM NM N,default,NM,N,N,N,0,3,0,1,NM,{'swift.srcml.xml_identifiers'},51,120
void,default instance void,NM NM N,instance,NM,N,N,N,1,3,1,1,NM,{'swift.srcml.xml_identifiers'},51,121
void,default instance void,NM NM N,void,N,N,N,N,2,3,2,1,N,{'swift.srcml.xml_identifiers'},51,122
int,delay agnostic enabled,NM N V,delay,NM,N,N,N,0,3,0,1,NM,{'bullet3.srcml.xml_identifiers'},52,123
int,delay agnostic enabled,NM N V,agnostic,NM,N,NM,NM,1,3,1,1,N,{'bullet3.srcml.xml_identifiers'},52,124
int,delay agnostic enabled,NM N V,enabled,N,V,VBD,VBN,2,3,2,1,V,{'bullet3.srcml.xml_identifiers'},52,125
freenectdepthcb,depth cb,NM N,depth,NM,N,N,N,0,2,0,1,NM,{'okhttp.srcml.xml_identifiers'},53,126
freenectdepthcb,depth cb,NM N,cb,N,N,N,N,1,2,2,1,N,{'okhttp.srcml.xml_identifiers'},53,127
bool,depth Stencil As Texture,NM N P N,depth,NM,FAILURE,N,N,0,4,0,1,NM,{'openFrameworks.srcml.xml_identifiers'},54,128
bool,depth Stencil As Texture,NM N P N,Stencil,NM,FAILURE,N,N,1,4,1,1,N,{'openFrameworks.srcml.xml_identifiers'},54,129
bool,depth Stencil As Texture,NM N P N,As,NM,FAILURE,P,P,2,4,1,1,P,{'openFrameworks.srcml.xml_identifiers'},54,130
bool,depth Stencil As Texture,NM N P N,Texture,N,FAILURE,N,N,3,4,2,1,N,{'openFrameworks.srcml.xml_identifiers'},54,131
bool,Detect Leaks,V NPL,Detect,NM,V,V,V,0,2,0,1,V,{'antlr4.srcml.xml_identifiers'},55,132
bool,Detect Leaks,V NPL,Leaks,N,N,NPL,NPL,1,2,2,1,NPL,{'antlr4.srcml.xml_identifiers'},55,133
InstallState,DEVELOPMENT,N,DEVELOPMENT,N,N,N,N,0,1,0,1,N,{'blender.srcml.xml_identifiers'},56,134
int,dynamic Table Byte Count,NM NM NM N,dynamic,NM,NM,NM,NM,0,4,0,1,NM,{'swift.srcml.xml_identifiers'},57,135
int,dynamic Table Byte Count,NM NM NM N,Table,NM,N,N,N,1,4,1,1,NM,{'swift.srcml.xml_identifiers'},57,136
int,dynamic Table Byte Count,NM NM NM N,Byte,NM,N,N,N,2,4,1,1,NM,{'swift.srcml.xml_identifiers'},57,137
int,dynamic Table Byte Count,NM NM NM N,Count,N,N,N,N,3,4,2,1,N,{'swift.srcml.xml_identifiers'},57,138
gint,edit count,NM N,edit,NM,N,V,V,0,2,0,1,NM,{'junit4.srcml.xml_identifiers'},58,139
gint,edit count,NM N,count,N,N,N,N,1,2,2,1,N,{'junit4.srcml.xml_identifiers'},58,140
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,EGLEW,NM,N,NM,N,0,5,0,1,PRE,{'junit4.srcml.xml_identifiers'},59,141
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,ANDROID,NM,N,N,N,1,5,1,1,PRE,{'junit4.srcml.xml_identifiers'},59,142
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,frame,NM,N,N,N,2,5,1,1,NM,{'junit4.srcml.xml_identifiers'},59,143
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,buffer,NM,N,N,N,3,5,1,1,NM,{'junit4.srcml.xml_identifiers'},59,144
GLboolean,EGLEW ANDROID frame buffer target,PRE PRE NM NM N,target,N,N,N,N,4,5,2,1,N,{'junit4.srcml.xml_identifiers'},59,145
PFNCREATEPLATFORMWINDOWSURFACE,eglew Create Platform Window Surface,PRE V NM NM N,eglew,NM,N,NPL,N,0,5,0,1,PRE,{'openFrameworks.srcml.xml_identifiers'},60,146
PFNCREATEPLATFORMWINDOWSURFACE,eglew Create Platform Window Surface,PRE V NM NM N,Create,NM,N,VBP,VBP,1,5,1,1,V,{'openFrameworks.srcml.xml_identifiers'},60,147
PFNCREATEPLATFORMWINDOWSURFACE,eglew Create Platform Window Surface,PRE V NM NM N,Platform,NM,N,N,N,2,5,1,1,NM,{'openFrameworks.srcml.xml_identifiers'},60,148
PFNCREATEPLATFORMWINDOWSURFACE,eglew Create Platform Window Surface,PRE V NM NM N,Window,NM,N,N,N,3,5,1,1,NM,{'openFrameworks.srcml.xml_identifiers'},60,149
PFNCREATEPLATFORMWINDOWSURFACE,eglew Create Platform Window Surface,PRE V NM NM N,Surface,N,N,N,N,4,5,2,1,N,{'openFrameworks.srcml.xml_identifiers'},60,150
GLboolean,EGLEW KHR stream fifo,PRE PRE NM N,EGLEW,NM,N,N,N,0,4,0,1,PRE,{'calligra.srcml.xml_identifiers'},61,151
GLboolean,EGLEW KHR stream fifo,PRE PRE NM N,KHR,NM,N,N,N,1,4,1,1,PRE,{'calligra.srcml.xml_identifiers'},61,152
GLboolean,EGLEW KHR stream fifo,PRE PRE NM N,stream,NM,N,N,N,2,4,1,1,NM,{'calligra.srcml.xml_identifiers'},61,153
GLboolean,EGLEW KHR stream fifo,PRE PRE NM N,fifo,N,N,N,N,3,4,2,1,N,{'calligra.srcml.xml_identifiers'},61,154
VersionNumber,EMBEDDED VERSION,NM N,EMBEDDED,NM,NM,NM,VBN,0,2,0,1,NM,{'mockito.srcml.xml_identifiers'},62,155
VersionNumber,EMBEDDED VERSION,NM N,VERSION,N,N,N,N,1,2,2,1,N,{'mockito.srcml.xml_identifiers'},62,156
FileObserver[],EMPTY DIRECTORY,NM N,EMPTY,NM,NM,NM,NM,0,2,0,1,NM,{'irrlicht.srcml.xml_identifiers'},63,157
FileObserver[],EMPTY DIRECTORY,NM N,DIRECTORY,N,N,N,N,1,2,2,1,N,{'irrlicht.srcml.xml_identifiers'},63,158
freenectdeviceflags,enabled subdevices,NM NPL,enabled,NM,N,VBN,VBN,0,2,0,1,NM,{'opencv.srcml.xml_identifiers'},64,159
freenectdeviceflags,enabled subdevices,NM NPL,subdevices,N,N,NPL,NPL,1,2,2,1,NPL,{'opencv.srcml.xml_identifiers'},64,160
List,encoded Path Segments,NM NM NPL,encoded,NM,N,VBN,VBN,0,3,0,1,NM,{'okhttp.srcml.xml_identifiers'},65,161
List,encoded Path Segments,NM NM NPL,Path,NM,N,N,N,1,3,1,1,NM,{'okhttp.srcml.xml_identifiers'},65,162
List,encoded Path Segments,NM NM NPL,Segments,N,N,NPL,NPL,2,3,2,1,NPL,{'okhttp.srcml.xml_identifiers'},65,163
ArrayList,exception Channels,NM NPL,exception,NM,N,N,N,0,2,0,1,NM,{'openFrameworks.srcml.xml_identifiers'},66,164
ArrayList,exception Channels,NM NPL,Channels,N,N,NPL,NPL,1,2,2,1,NPL,{'openFrameworks.srcml.xml_identifiers'},66,165
boolean,extract Events,V NPL,extract,NM,V,N,NM,0,2,0,1,V,{'antlr4.srcml.xml_identifiers'},67,166
boolean,extract Events,V NPL,Events,N,N,NPL,NPL,1,2,2,1,NPL,{'antlr4.srcml.xml_identifiers'},67,167
int,f Context Length,PRE NM N,f,NM,N,N,N,0,3,0,1,PRE,{'ogre.srcml.xml_identifiers'},68,168
int,f Context Length,PRE NM N,Context,NM,N,N,N,1,3,1,1,NM,{'ogre.srcml.xml_identifiers'},68,169
int,f Context Length,PRE NM N,Length,N,N,N,N,2,3,2,1,N,{'ogre.srcml.xml_identifiers'},68,170
Matcher,f Matcher,PRE N,f,NM,N,N,N,0,2,0,1,PRE,{'QuantLib.srcml.xml_identifiers'},69,171
Matcher,f Matcher,PRE N,Matcher,N,N,N,N,1,2,2,1,N,{'QuantLib.srcml.xml_identifiers'},69,172
FeedAdapter,FEED ADAPTER,NM N,FEED,NM,N,N,N,0,2,0,1,NM,{'opencv.srcml.xml_identifiers'},70,173
FeedAdapter,FEED ADAPTER,NM N,ADAPTER,N,N,N,N,1,2,2,1,N,{'opencv.srcml.xml_identifiers'},70,174
SourceFile,File,N,File,N,N,N,N,0,1,0,1,N,{'jenkins.srcml.xml_identifiers'},71,175
RepeatedField,file Descriptor Proto,NM NM N,file,NM,N,N,N,0,3,0,1,NM,{'gimp.srcml.xml_identifiers'},72,176
RepeatedField,file Descriptor Proto,NM NM N,Descriptor,NM,N,N,N,1,3,1,1,NM,{'gimp.srcml.xml_identifiers'},72,177
RepeatedField,file Descriptor Proto,NM NM N,Proto,N,NM,N,N,2,3,2,1,N,{'gimp.srcml.xml_identifiers'},72,178
List,filtered Children,NM NPL,filtered,NM,N,VBN,VBN,0,2,0,1,NM,{'elasticsearch.srcml.xml_identifiers'},73,179
List,filtered Children,NM NPL,Children,N,N,NPL,NPL,1,2,2,1,NPL,{'elasticsearch.srcml.xml_identifiers'},73,180
AlertDialog,fingerprint Dialog,NM N,fingerprint,NM,N,N,N,0,2,0,1,NM,{'jenkins.srcml.xml_identifiers'},74,181
AlertDialog,fingerprint Dialog,NM N,Dialog,N,N,N,N,1,2,2,1,N,{'jenkins.srcml.xml_identifiers'},74,182
int,flag,N,flag,N,N,N,N,0,1,0,1,N,{'bullet3.srcml.xml_identifiers'},75,183
DayCounter,float Day Counter,NM NM N,float,NM,N,N,N,0,3,0,1,NM,{'antlr4.srcml.xml_identifiers'},76,184
DayCounter,float Day Counter,NM NM N,Day,NM,N,N,N,1,3,1,1,NM,{'antlr4.srcml.xml_identifiers'},76,185
DayCounter,float Day Counter,NM NM N,Counter,N,N,N,N,2,3,2,1,N,{'antlr4.srcml.xml_identifiers'},76,186
FootnotesPosition,footnotes Position,NM N,footnotes,NM,N,NPL,NPL,0,2,0,1,NM,{'kdevelop.srcml.xml_identifiers'},77,187
FootnotesPosition,footnotes Position,NM N,Position,N,N,N,VBP,1,2,2,1,N,{'kdevelop.srcml.xml_identifiers'},77,188
pointer,free cell,NM N,free,NM,NM,NM,NM,0,2,0,1,NM,{'mockito.srcml.xml_identifiers'},78,189
pointer,free cell,NM N,cell,N,N,N,N,1,2,2,1,N,{'mockito.srcml.xml_identifiers'},78,190
String,GEN SUBJ,NM N,GEN,NM,N,N,N,0,2,0,1,NM,{'blender.srcml.xml_identifiers'},79,191
String,GEN SUBJ,NM N,SUBJ,N,N,N,N,1,2,2,1,N,{'blender.srcml.xml_identifiers'},79,192
String,GET SOURCE NAME,NM NM N,GET,NM,N,V,V,0,3,0,1,NM,{'corenlp.srcml.xml_identifiers'},80,193
String,GET SOURCE NAME,NM NM N,SOURCE,NM,N,N,N,1,3,1,1,NM,{'corenlp.srcml.xml_identifiers'},80,194
String,GET SOURCE NAME,NM NM N,NAME,N,N,N,N,2,3,2,1,N,{'corenlp.srcml.xml_identifiers'},80,195
PFNGLINDEXMASKPROC,glew Index Mask,PRE NM N,glew,NM,N,N,NM,0,3,0,1,PRE,{'QuantLib.srcml.xml_identifiers'},81,196
PFNGLINDEXMASKPROC,glew Index Mask,PRE NM N,Index,NM,N,N,N,1,3,1,1,NM,{'QuantLib.srcml.xml_identifiers'},81,197
PFNGLINDEXMASKPROC,glew Index Mask,PRE NM N,Mask,N,N,N,N,2,3,2,1,N,{'QuantLib.srcml.xml_identifiers'},81,198
